date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:29:39	3155/3155	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Nov%202025%2005:29:40%20GMT	https://aqua-flow.netlify.app/robots.txt		(from )
00:29:42	14982/14982	---MCZ	200	added ('OK')	text/html	etag:%22d7gxhtuef7bjh%22	https://aqua-flow.netlify.app/	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/index.html	(from )
00:29:43	58512/58512	---M--	200	added ('OK')	font/woff2	etag:%2295a3664f76de7fcbe7f1d7e0951a0d7d-ssl%22	https://aqua-flow.netlify.app/_next/static/media/028c0d39d2e8f589-s.p.woff2	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/media/028c0d39d2e8f589-s.p.woff2	(from https://aqua-flow.netlify.app/)
00:29:43	58092/58092	---M--	200	added ('OK')	font/woff2	etag:%22f033d802da8454826f4de60c204b2bd4-ssl%22	https://aqua-flow.netlify.app/_next/static/media/5b01f339abf2f1a5.p.woff2	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/media/5b01f339abf2f1a5.p.woff2	(from https://aqua-flow.netlify.app/)
00:29:43	874/874	---M--	200	added ('OK')	text/css	etag:%221d363914c589617440c9690c71959f62-ssl%22	https://aqua-flow.netlify.app/_next/static/css/6ad9841b43ad2bc9.css	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/css/6ad9841b43ad2bc9.css	(from https://aqua-flow.netlify.app/)
00:29:44	138578/138578	---MCZ	200	added ('OK')	text/css	etag:%222e8b59f8206e9a0e1315c9e7a98871a9-ssl-df%22	https://aqua-flow.netlify.app/_next/static/css/2cdf33df0354e900.css	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/css/2cdf33df0354e900.css	(from https://aqua-flow.netlify.app/)
00:29:45	3412/3412	---MCZ	200	added ('OK')	application/javascript	etag:%22c52f4d2a68de50b4dc8e8e53dd3637de-ssl-df%22	https://aqua-flow.netlify.app/_next/static/chunks/webpack-dc18d9eed70985f3.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/webpack-dc18d9eed70985f3.js	(from https://aqua-flow.netlify.app/)
00:29:46	169106/169106	---MCZ	200	added ('OK')	application/javascript	etag:%22805de53ca0f9dbc6506d5a498ed04918-ssl-df%22	https://aqua-flow.netlify.app/_next/static/chunks/e7327965-6463df9457e28e6e.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/e7327965-6463df9457e28e6e.js	(from https://aqua-flow.netlify.app/)
00:29:47	505/505	---M--	200	added ('OK')	application/javascript	etag:%22f84616835194821ad7f7b7fab3defd48-ssl%22	https://aqua-flow.netlify.app/_next/static/chunks/main-app-8bfa443cb9bd3504.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/main-app-8bfa443cb9bd3504.js	(from https://aqua-flow.netlify.app/)
00:29:47	172937/172937	---MCZ	200	added ('OK')	application/javascript	etag:%22381c3a06e53c24acec481025c7f78ed2-ssl-df%22	https://aqua-flow.netlify.app/_next/static/chunks/874-92c3e162580bacc5.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/874-92c3e162580bacc5.js	(from https://aqua-flow.netlify.app/)
00:29:47	4235/4235	---MCZ	200	added ('OK')	application/javascript	etag:%220108c6360639ed636771e3bf5e22f551-ssl-df%22	https://aqua-flow.netlify.app/_next/static/chunks/app/layout-6a2182f5aa6ffb88.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/app/layout-6a2182f5aa6ffb88.js	(from https://aqua-flow.netlify.app/)
00:29:48	26432/26432	---MCZ	200	added ('OK')	application/javascript	etag:%224159dd33ef0f7d2d7965ad93ffa62a43-ssl-df%22	https://aqua-flow.netlify.app/_next/static/chunks/784-f3905401a6742920.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/784-f3905401a6742920.js	(from https://aqua-flow.netlify.app/)
00:29:49	19459/19459	---MCZ	200	added ('OK')	application/javascript	etag:%22b39fc8cfc3bd4b1ec71f7f37e0995d8f-ssl-df%22	https://aqua-flow.netlify.app/_next/static/chunks/app/page-4e8c7e148cfd86c1.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/app/page-4e8c7e148cfd86c1.js	(from https://aqua-flow.netlify.app/)
00:29:49	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:%22b5cc8b6cbba4016c1924b27744364767-ssl-df%22	https://aqua-flow.netlify.app/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/My%20Web%20Sites/Aquaflow/aqua-flow.netlify.app/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://aqua-flow.netlify.app/)
